video_id,published,duration_sec,views,export_module,is_export_related,topics,title,url
coPVaEDD7Vg,2020-11-27,1003,2152,M02 인코텀즈,Y,인코텀즈,FCA 규칙 2편 당사자 의무 인코텀즈 (Incoterms) 2020,https://www.youtube.com/watch?v=coPVaEDD7Vg
XmcdQSh9rfc,2020-11-20,985,8400,M02 인코텀즈,Y,인코텀즈,FCA 규칙 1편 설명문 인코텀즈 (Incoterms) 2020,https://www.youtube.com/watch?v=XmcdQSh9rfc
ZufxW2HP28A,2020-11-18,880,497,,N,자격증/시험|취업/커리어,이게 도대체 뭔 게임이야... AI 면접 직접 체험 후 꿀팁 대방출!,https://www.youtube.com/watch?v=ZufxW2HP28A
8aPnPWZkyvk,2020-11-12,901,2818,,N,취업/커리어,실제 기업에서 사용하는 마이다스아이티 AI 면접 보고왔습니다. AI 면접 완전분석,https://www.youtube.com/watch?v=8aPnPWZkyvk
fQ4fqDEu3_U,2020-11-02,615,35451,M12 결제/신용장/외환,Y,결제/신용장/외환,[외국환거래법] 해외에서 계좌개설하는게 외국환거래법 위반이라고?  (ft.해외예금계좌 대금결제),https://www.youtube.com/watch?v=fQ4fqDEu3_U
akNlMBWbilg,2020-10-29,589,8595,,N,통관일반/관세|무역규제/요건,[직구 목록통관] 밀수입하다가 걸리셨다고요..?!,https://www.youtube.com/watch?v=akNlMBWbilg
sQWjlcfbchw,2020-10-23,882,13895,M06 수출통관/수출신고,Y,수출통관/신고|통관일반/관세|무역서류,수출신고필증(수출면장) 완전해석!  이정도는 기본이죠,https://www.youtube.com/watch?v=sQWjlcfbchw
gAEDE7yxDsk,2020-10-19,509,0,,N,취업/커리어,"대우인터에서 삼성으로의 이직, 삼성그룹은 차갑죠...삼성vs대우,포스코",https://www.youtube.com/watch?v=gAEDE7yxDsk
LgM1u_TeME4,2020-10-15,1263,0,,N,취업/커리어,"종합무역상사 대우인터(현:포스코인터)에서만 20년, 경력자曰 꼭 대기업일 필요는 없어요 하지만 중요한건...",https://www.youtube.com/watch?v=LgM1u_TeME4
e8fpOm1nTLM,2020-10-12,1317,16458,M10 운송/물류/B/L,Y,운송/B/L/포워딩|무역서류,"속성강좌오픈합니다!  Air Way Bill(AWB), 항공화물운송장",https://www.youtube.com/watch?v=e8fpOm1nTLM
z19IibFdwuM,2020-10-01,757,3431,M08 HS/관세/환급,Y,통관일반/관세,방심하다 가산세 300만원 물었습니다.... 이런 실수 영상보시고 예방하세요...,https://www.youtube.com/watch?v=z19IibFdwuM
_mRga6eii1E,2020-09-28,1244,22162,M07 수입통관/수입신고,Y,수입통관/신고|무역서류,수입하시려는 분 꼭 참고하세요!  수입신고필증(수입면장) 완전해석,https://www.youtube.com/watch?v=_mRga6eii1E
BZfHmDfjox8,2020-09-25,686,36815,,N,취업/커리어,무역회사 취업스펙 이거는 꼭 필요해요!  뭘 준비해야될 지 막막하신분 영상주목!,https://www.youtube.com/watch?v=BZfHmDfjox8
tOrzmvP-7fI,2020-09-21,920,24354,,N,운송/B/L/포워딩|취업/커리어,대기업구매팀 15년 경력자 심층인터뷰 공개! [직무편],https://www.youtube.com/watch?v=tOrzmvP-7fI
UKhh0gntqn0,2020-09-17,361,556,,N,,"비대면 원격 화상강의 저보다 완벽하게 하는사람이 있을까요..?,실시간 송출 테스트까지 마쳤습니다.",https://www.youtube.com/watch?v=UKhh0gntqn0
goc7FJTFl4o,2020-09-11,1439,16591,M12 결제/신용장/외환,Y,결제/신용장/외환,"[무역전문가시리즈] 경고조차 없는 잔인한 외국환거래법 (feat. 국가부도의 날, 유아인)",https://www.youtube.com/watch?v=goc7FJTFl4o
k_1oM3uc8V0,2020-09-07,347,6902,,N,취업/커리어,"[무역회사취업] 대기업구매팀 15년, 종합무역상사 20년 (전) 현직자 인터뷰! 학벌, 토익, 제2외국어 뭐가 가장 중요할까?",https://www.youtube.com/watch?v=k_1oM3uc8V0
