코드군,명칭,코드테이블,개별코드
IMP_DCLR_MDFY_RCD,수입신고정정사유코드,,N
IMPPN_TPCD,수입자구분코드,,N
IMP_INTC_SELC_RCD,수입전산선별사유코드,,N
IMP_MDFY_ITEM_CD,수입정정항목코드,,N
IMP_COND_CHNG_TPCD,수입조건변경구분코드,,N
IMP_TKAC_MATR_CD,수입조치사항코드,,N
IMP_KCD,수입종류코드,,N
IMP_WTHD_RCD,수입취하사유코드,,N
IMP_CSCL_PLAN_CD,수입통관계획코드,,N
IMP_CSCL_UNDC_RCD,수입통관미결사유코드,,N
IMP_CSCL_PRCS_STCD,수입통관처리상태코드,,N
HNWR_SELC_RCD,수작업선별사유코드,,N
HNWR_RCVE_RGSR_RCD,수작업수납등록사유코드,,N
EXP_DLNG_TPCD,수출거래구분코드,,N
EXP_INSC_RSLT_TKAC_CD,수출검사결과조치코드,,N
EXP_INSC_RSCD,수출검사결과코드,,N
EXP_INSC_TPCD,수출검사구분코드,,N
EXP_INSC_CHNG_RCD,수출검사변경사유코드,,N
EXP_IMPT_RCD,수출귀책사유코드,,N
EXP_RETU_RCD,수출반송사유코드,,N
EXP_SPLM_REQS_RCD,수출보완요구사유코드,,N
EXP_TMPR_CD,수출성질코드,,N
EXP_DCLR_RJCT_RCD,수출신고각하사유코드,,N
EXP_DCLR_TPCD,수출신고구분코드,,N
EXP_DCLR_MDFY_RCD,수출신고정정사유코드,,N
EXP_DCLR_SBMT_ISTM_TPCD,수출신고제출서류구분코드,,N
EXP_DCLR_PRCS_STCD,수출신고처리상태코드,,N
EXP_DCLR_WTHD_RCD,수출신고취하사유코드,,N
EXP_DCLR_ITEM_CD,수출신고항목코드,,N
IMEX_DCLR_RJCT_RCD,수출입신고각하사유코드,,N
EXPPN_TPCD,수출자구분코드,,N
EXP_ACAP_RSLT_TPCD,수출접수결과구분코드,,N
EXP_KCD,수출종류코드,,N
EXP_FORM_TPCD,수출형태구분코드,,N
EXP_FORM_CD,수출형태코드,,N
DCLR_TPCD,신고구분코드,,N
DCLR_ENTS_PLS_RSTN_RCD,신고업체페이퍼리스제재사유코드,,N
RKE_TKAC_RSCD,신병조치결과코드,,N
RQST_MCD,신청방법코드,,N
APFM_PRCS_STCD,신청서처리상태코드,,N
APLC_TPCD,신청인구분코드,,N
AUDT_BSS_NO_TPCD,심사근거번호구분코드,,N
AUDT_OPIN_TPCD,심사의견구분코드,,N
AUDT_OPIN_TPCD_01,심사의견구분코드_01,,N
AUDT_OPIN_TPCD_02,심사의견구분코드_02,,N
CFSC_CMDT_DSPS_PCD,압수물품처분유형코드,,N
BSOP_TRTR_CD,업무영역코드,,N
ENTS_EV_GD_CD,업체평가등급코드,,N
PSPR_ISS_REGN_CD,여권발급지역코드,,N
TRVL_PUPS_CD,여행목적코드,,N
PSNR_HNWR_SELC_RCD,여행자수작업선별사유코드,,N
PSNR_LBCR_GD_CD,여행자우범등급코드,,N
REQ_APRE_ITT_CD,요건승인기관코드,,N
REQT_INFO_TRGT_TPCD,요청정보대상구분코드,,N
USG_TPCD,용도구분코드,,N
LBCR_GD_CD,우범등급코드,,N
LBCR_SITE_TRCN_SRC_TPCD,우범사이트추적근원구분코드,,N
LBCR_SITE_PRNM_CD,우범사이트품명코드,,N
PSMT_OTH_DSCD_RCD,우편물기타폐기사유코드,,N
PSMT_TXFR_RCD,우편물면세사유코드,,N
PSMT_RETU_RCD,우편물반송사유코드,,N
PSMT_KCD,우편물종류코드,,N
PSMT_KCD_01,우편물종류코드_01,,N
PSMT_CSCL_ATENT_CD,우편물통관유의코드,,N
PSMT_DSCD_RCD,우편물폐기사유코드,,N
TRNP_BUSI_KCD,운송사업종류코드,,N
TRNP_METH_PCD,운송수단유형코드,,N
TRNP_METH_HIRE_RQST_RCD,운송수단임차신청사유코드,,N
TRNP_CNTAI_TPCD,운송용기구분코드,,N
SLNG_PLAN_MDFY_RCD,운항계획정정사유코드,,N
ORCY_DTRM_BASE_CD,원산지결정기준코드,,N
ORCY_CRPP_EON_TPCD,원산지증명서유무구분코드,,N
ORCY_INDC_EXMP_RCD,원산지표시면제사유코드,,N
ORCY_INDC_MCD,원산지표시방법코드,,N
ORCY_INDC_EON_TPCD,원산지표시유무구분코드,,N
RWMS_TPCD,원재료구분코드,,N
VLTN_PCD,위반유형코드,,N
INJR_CMDT_RLBR_RCD,위해물품반출입사유코드,,N
INJR_CMDT_TKAC_RSCD,위해물품조치결과코드,,N
INJR_CMDT_KCD,위해물품종류코드,,N
CNCM_TCHN_CD,은닉수법코드,,N
DTY_FFMN_REQS_RCD,의무이행요구사유코드,,N
DTY_FFMN_REQS_RCD_01,의무이행요구사유코드_01,,N
IMGR_JOB_CD,이사자직업코드,,N
FNTR_CMVL_RSCD,이체대사결과코드,,N
DLCN_CD,인도조건코드,,N
CRTF_EXPPN_RTRN_CNCL_RCD,인증수출자반려취소사유코드,,N
CRTF_EXPPN_CRCT_RVSN_RCD,인증수출자시정보정사유코드,,N
ALTG_CHK_SLCN_RCD,일제점검선정사유코드,,N
IOPR_TPCD,입출항구분코드,,N
IOPR_ISTM_MDFY_ITEM_CD,입출항서류정정항목코드,,N
IOPR_MDFY_RCD,입출항정정사유코드,,N
IOPR_CARG_CD,입출항화물코드,,N
ETPR_PUPS_CD,입항목적코드,,N
ETPR_MNFS_MDFY_ITEM_CD,입항적하목록정정항목코드,,N
QLFC_CHG_MDFY_RCD,자격전환정정사유코드,,N
CRQL_KCD,자격증종류코드,,N
QLFC_ACQS_TPCD,자격취득구분코드,,N
CPTL_SRCE_TPCD,자금원천구분코드,,N
CAR_RGSR_ITT_CD,자동차등록기관코드,,N
CAR_BSOP_CD,자동차업무코드,,N
